Rank,Title,Score,eps,Time_Interval,no of months
1,Fullmetal Alchemist: BrotherhoodTV ,9.1,64,Apr 2009 - Jul 2010,15
2,Steins;GateTV ,9.07,24,Apr 2011 - Sep 2011,5
3,Bleach: Sennen Kessen-henTV ,9.06,13,Oct 2022 - Dec 2022,2
4,Gintama°TV ,9.06,51,Apr 2015 - Mar 2016,11
5,Shingeki no Kyojin Season 3 Part 2TV ,9.05,10,Apr 2019 - Jul 2019,3
6,Gintama'TV ,9.04,51,Apr 2011 - Mar 2012,11
7,Gintama: The FinalMovie ,9.04,1,Jan 2021 - Jan 2021,0
8,Hunter x Hunter TV ,9.04,148,Oct 2011 - Sep 2014,35
9,Kaguya-sama wa Kokurasetai: Ultra RomanticTV ,9.04,13,Apr 2022 - Jun 2022,2
10,Gintama': EnchousenTV ,9.03,13,Oct 2012 - Mar 2013,5
11,Shingeki no Kyojin: The Final Season - Kanketsu-henSpecial ,9.03,2,Mar 2023 - May 2023,2
12,Ginga Eiyuu DensetsuOVA ,9.02,110,Jan 1988 - Mar 1997,110
13,Bleach: Sennen Kessen-hen - Ketsubetsu-tanTV ,8.99,13,Jul 2023 - Aug 2023,1
14,Fruits Basket: The FinalTV ,8.99,13,Apr 2021 - Jun 2021,2
15,Gintama.TV ,8.98,12,Jan 2017 - Mar 2017,2
16,GintamaTV ,8.94,201,Apr 2006 - Mar 2010,47
17,Koe no KatachiMovie ,8.94,1,Sep 2016 - Sep 2016,0
18,3-gatsu no Lion 2nd SeasonTV ,8.93,22,Oct 2017 - Mar 2018,5
19,Clannad: After StoryTV ,8.93,24,Oct 2008 - Mar 2009,5
20,Code Geass: Hangyaku no Lelouch R2TV ,8.91,25,Apr 2008 - Sep 2008,5
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien NareMovie ,8.91,1,Jul 2013 - Jul 2013,0
22,Violet Evergarden MovieMovie ,8.89,1,Sep 2020 - Sep 2020,0
23,Owarimonogatari 2nd SeasonTV ,8.88,7,Aug 2017 - Aug 2017,0
24,Gintama.: Shirogane no Tamashii-hen - Kouhan-senTV ,8.88,14,Jul 2018 - Oct 2018,3
25,MonsterTV ,8.87,74,Apr 2004 - Sep 2005,17
26,Kimi no Na wa.Movie ,8.84,1,Aug 2016 - Aug 2016,0
27,Kaguya-sama wa Kokurasetai: First Kiss wa OwaranaiMovie ,8.84,1,Dec 2022 - Dec 2022,0
28,Bocchi the Rock!TV ,8.83,12,Oct 2022 - Dec 2022,2
29,The First Slam DunkMovie ,8.83,1,Dec 2022 - Dec 2022,0
30,Vinland Saga Season 2TV ,8.82,24,Jan 2023 - Jun 2023,5
31,Jujutsu Kaisen 2nd SeasonTV ,8.82,23,Jul 2023 - Aug 2023,1
32,Gintama.: Shirogane no Tamashii-henTV ,8.81,12,Jan 2018 - Mar 2018,2
33,Kingdom 3rd SeasonTV ,8.81,26,Apr 2020 - Oct 2021,18
34,Mob Psycho 100 IITV ,8.8,13,Jan 2019 - Apr 2019,3
35,Shingeki no Kyojin: The Final SeasonTV ,8.8,16,Dec 2020 - Mar 2021,3
36,Kimetsu no Yaiba: Yuukaku-henTV ,8.79,11,Dec 2021 - Feb 2022,2
37,Kizumonogatari III: Reiketsu-henMovie ,8.79,1,Jan 2017 - Jan 2017,0
38,"""Oshi no Ko""TV ",8.79,11,Apr 2023 - Jun 2023,2
39,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen KoukouTV ,8.78,10,Oct 2016 - Dec 2016,2
40,Sen to Chihiro no KamikakushiMovie ,8.78,1,Jul 2001 - Jul 2001,0
41,Monogatari Series: Second SeasonTV ,8.77,26,Jul 2013 - Dec 2013,5
42,Shingeki no Kyojin: The Final Season Part 2TV ,8.77,12,Jan 2022 - Apr 2022,3
43,Hajime no IppoTV ,8.76,75,Oct 2000 - Mar 2002,17
44,Cowboy BebopTV ,8.75,26,Apr 1998 - Apr 1999,12
45,Kingdom 4th SeasonTV ,8.75,26,Apr 2022 - Oct 2022,6
46,Vinland SagaTV ,8.74,24,Jul 2019 - Dec 2019,5
47,Mushishi Zoku Shou 2nd SeasonTV ,8.73,10,Oct 2014 - Dec 2014,2
48,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-henTV ,8.72,12,Jan 2017 - Mar 2017,2
49,Mob Psycho 100 IIITV ,8.71,12,Oct 2022 - Dec 2022,2
50,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-henOVA ,8.71,4,Feb 1999 - Sep 1999,7
